Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-27,0.3988,0.4317,0.3909,0.4221,12932328,0,0
2018-07-28,0.4238,0.4278,0.4178,0.4235,5069990,0,0
2018-07-29,0.4239,0.4286,0.4089,0.4115,4672718,0,0
2018-07-30,0.4119,0.4119,0.3785,0.3956,4112076,0,0
2018-07-31,0.3946,0.3948,0.3583,0.3608,4897201,0,0
2018-08-01,0.3601,0.3695,0.3467,0.3685,4594184,0,0
2018-08-02,0.3696,0.3825,0.3431,0.345,4683604,0,0
2018-08-03,0.3435,0.3517,0.3249,0.3448,4919101,0,0
2018-08-04,0.3454,0.3498,0.3204,0.3247,3492278,0,0
2018-08-05,0.3248,0.3327,0.3197,0.3304,3218739,0,0
2018-08-06,0.3308,0.3532,0.3308,0.3506,5015538,0,0
2018-08-07,0.3501,0.394,0.3424,0.3476,11434837,0,0
2018-08-08,0.3475,0.3473,0.2788,0.2875,9533162,0,0
2018-08-09,0.2884,0.3258,0.2865,0.3224,4939358,0,0
2018-08-10,0.321,0.325,0.2823,0.2915,4532787,0,0
2018-08-11,0.2919,0.2998,0.2625,0.2898,8713725,0,0
2018-08-12,0.2878,0.2887,0.2748,0.2774,3141348,0,0
2018-08-13,0.2779,0.2935,0.2474,0.2488,6482932,0,0
2018-08-14,0.2444,0.2474,0.2057,0.2474,7510947,0,0
2018-08-15,0.2494,0.2713,0.2457,0.2465,6526477,0,0
2018-08-16,0.2462,0.2704,0.241,0.2574,5188356,0,0
2018-08-17,0.2579,0.2971,0.2575,0.2953,5209871,0,0
2018-08-18,0.297,0.2992,0.2576,0.2703,3982310,0,0
2018-08-19,0.2702,0.3008,0.2663,0.2884,4629297,0,0
2018-08-20,0.2893,0.2972,0.255,0.2551,3710649,0,0
2018-08-21,0.2536,0.2791,0.2528,0.2784,4668348,0,0
2018-08-22,0.2782,0.2903,0.2501,0.2566,5192442,0,0
2018-08-23,0.2559,0.2739,0.255,0.2729,5941668,0,0
2018-08-24,0.2753,0.2763,0.2657,0.2761,5816815,0,0
2018-08-25,0.2759,0.278,0.2693,0.2767,4784238,0,0
2018-08-26,0.2767,0.2783,0.2654,0.2719,4658763,0,0
2018-08-27,0.2724,0.2893,0.2703,0.2888,6825756,0,0
2018-08-28,0.2898,0.3046,0.2894,0.3017,8936609,0,0
2018-08-29,0.3018,0.3019,0.2822,0.2898,7456098,0,0
2018-08-30,0.2899,0.2903,0.2688,0.2791,8365430,0,0
2018-08-31,0.2797,0.2917,0.2759,0.2862,7132400,0,0
2018-09-01,0.2848,0.3044,0.2846,0.2967,4623198,0,0
2018-09-02,0.297,0.3069,0.2926,0.3026,4264481,0,0
2018-09-03,0.303,0.305,0.2952,0.2983,4229653,0,0
2018-09-04,0.2986,0.309,0.2967,0.3043,4429414,0,0
2018-09-05,0.3042,0.3148,0.2408,0.2408,7522542,0,0
2018-09-06,0.2402,0.2438,0.2245,0.2416,6200558,0,0
2018-09-07,0.2411,0.2424,0.2275,0.2279,5315778,0,0
2018-09-08,0.2281,0.2333,0.205,0.2091,5960980,0,0
2018-09-09,0.2092,0.2193,0.1997,0.2062,4622046,0,0
2018-09-10,0.2063,0.2084,0.1944,0.1985,4480206,0,0
2018-09-11,0.1993,0.208,0.1874,0.1941,5218590,0,0
2018-09-12,0.1946,0.1966,0.1722,0.1915,5917313,0,0
2018-09-13,0.1913,0.2176,0.1906,0.2158,6114357,0,0
2018-09-14,0.2155,0.2189,0.1967,0.2029,5376519,0,0
2018-09-15,0.2016,0.215,0.1998,0.2138,3711775,0,0
2018-09-16,0.214,0.214,0.2017,0.2047,4140178,0,0
2018-09-17,0.2049,0.216,0.183,0.1878,5019590,0,0
2018-09-18,0.1881,0.1975,0.1841,0.1912,4178789,0,0
2018-09-19,0.1913,0.1946,0.1812,0.1936,2434074,0,0
2018-09-20,0.1945,0.2165,0.1945,0.2127,5533429,0,0
2018-09-21,0.2117,0.2337,0.208,0.2332,6945175,0,0
2018-09-22,0.2335,0.2373,0.2143,0.2269,5857321,0,0
2018-09-23,0.2274,0.2316,0.2228,0.226,2969384,0,0
2018-09-24,0.2264,0.2279,0.2116,0.2129,3616544,0,0
2018-09-25,0.2131,0.2131,0.1962,0.2113,6998682,0,0
2018-09-26,0.2135,0.2181,0.2043,0.2145,4180175,0,0
2018-09-27,0.2144,0.229,0.2096,0.2273,4380961,0,0
2018-09-28,0.2277,0.2309,0.2127,0.2185,4459600,0,0
2018-09-29,0.2184,0.2206,0.2093,0.2174,2646759,0,0
2018-09-30,0.2174,0.2251,0.2162,0.2199,2264828,0,0
2018-10-01,0.2196,0.2231,0.2153,0.2196,3096246,0,0
2018-10-02,0.2193,0.2266,0.2181,0.2189,3871285,0,0
2018-10-03,0.2187,0.2187,0.2095,0.2135,2723110,0,0
2018-10-04,0.2137,0.2239,0.2129,0.2216,3822640,0,0
2018-10-05,0.2218,0.2374,0.2215,0.2343,7225082,0,0
2018-10-06,0.2343,0.2382,0.2214,0.225,3921318,0,0
2018-10-07,0.2256,0.2285,0.2213,0.2273,3292758,0,0
2018-10-08,0.2282,0.2324,0.2261,0.2305,3470428,0,0
2018-10-09,0.2311,0.2341,0.2288,0.233,3545724,0,0
2018-10-10,0.2323,0.2374,0.2237,0.236,7047999,0,0
2018-10-11,0.2352,0.2396,0.2034,0.2137,11585285,0,0
2018-10-12,0.2112,0.2465,0.2058,0.2332,14787734,0,0
2018-10-13,0.2338,0.2384,0.2269,0.2305,4839170,0,0
2018-10-14,0.231,0.2318,0.2234,0.2244,5024788,0,0
2018-10-15,0.2248,0.2413,0.2214,0.2365,6902622,0,0
2018-10-16,0.2367,0.2449,0.2323,0.243,5184864,0,0
2018-10-17,0.243,0.2839,0.241,0.2783,34276380,0,0
2018-10-18,0.2792,0.2792,0.2639,0.2733,10383178,0,0
2018-10-19,0.2734,0.3178,0.2685,0.3095,27461256,0,0
2018-10-20,0.3094,0.3311,0.3025,0.3051,21198576,0,0
2018-10-21,0.3158,0.3561,0.3086,0.3397,23616298,0,0
2018-10-22,0.3438,0.3841,0.3329,0.3511,35687330,0,0
2018-10-23,0.354,0.3651,0.3225,0.3312,28377278,0,0
2018-10-24,0.3297,0.3728,0.3275,0.3583,24299072,0,0
2018-10-25,0.3583,0.3583,0.3394,0.3516,13243993,0,0
2018-10-26,0.3508,0.3586,0.3404,0.3457,9419459,0,0
2018-10-27,0.3451,0.3484,0.3177,0.3208,10549229,0,0
2018-10-28,0.322,0.3328,0.319,0.3278,7183742,0,0
2018-10-29,0.3273,0.3273,0.2988,0.3048,8668869,0,0
2018-10-30,0.3048,0.3362,0.3044,0.3254,13989093,0,0
2018-10-31,0.3254,0.3288,0.3145,0.3234,7210833,0,0
2018-11-01,0.3231,0.3363,0.3181,0.3303,11021365,0,0
2018-11-02,0.3305,0.4163,0.3306,0.3994,61249118,0,0
2018-11-03,0.3959,0.4035,0.3732,0.3802,44852429,0,0
2018-11-04,0.3802,0.3913,0.3726,0.3796,16431676,0,0
2018-11-05,0.3799,0.4289,0.379,0.405,44175829,0,0
2018-11-06,0.4055,0.4162,0.3958,0.4155,23444556,0,0
2018-11-07,0.416,0.4529,0.4075,0.4432,31775529,0,0
2018-11-08,0.4442,0.5022,0.4009,0.4009,94818796,0,0
2018-11-09,0.4039,0.4193,0.3588,0.366,53553585,0,0
2018-11-10,0.3701,0.3738,0.3507,0.3652,31355673,0,0
2018-11-11,0.3657,0.3695,0.3314,0.3375,26820164,0,0
2018-11-12,0.3398,0.3438,0.3218,0.3314,16867828,0,0
2018-11-13,0.3302,0.3506,0.3195,0.3218,20601890,0,0
2018-11-14,0.322,0.3255,0.2556,0.2842,17590868,0,0
2018-11-15,0.2845,0.2852,0.243,0.2835,15607606,0,0
